date,type,value,balance,categories
2020-09-01,direct debit,-186.13,127.19,car loan
2020-09-01,direct debit,-134,313.32,council tax
2020-09-01,direct debit,-3,447.32,LISA
2020-09-01,digital banking payment,-17.33,450.32,credit card
2020-09-01,digital banking payment,-1200,467.65,savings
2020-09-01,bank automated clearing,500,1667.65,husband
2020-08-01,digital banking payment,-17.33,1167.65,credit card
2020-08-01,digital banking payment,-475,1184.98,rent
2020-08-01,bank automated clearing,1427.66,1659.98,salary
2020-08-01,point of sale,-67.2,232.32,car insurance
2020-08-01,direct debit,-1,299.52,LISA
2020-08-01,point of sale,-4700,300.52,personal - big
2020-08-01,digital banking payment,-69,5000.52,credit card
2020-08-01,digital banking payment,2000,5069.52,parents
2020-08-01,digital banking payment,3000,3069.52,parents
2020-08-01,direct debit,-20,69.52,investment
2020-08-01,direct debit,-9,89.52,LISA
2020-08-01,digital banking payment,-17.33,98.52,credit card
2020-08-01,point of sale,30,115.85,bonus
2020-08-01,bank automated clearing,100,85.85,husband
2020-08-01,point of sale,-35.58,-14.15,investment
2020-08-01,direct debit,-5,21.43,LISA
2020-08-01,direct debit,-8,26.43,utility bills
2020-08-01,digital banking payment,-20,34.43,husband
2020-08-01,direct debit,-1,54.43,LISA
2020-08-01,digital banking payment,-10,55.43,husband
2020-08-01,digital banking payment,-10,65.43,husband
2020-08-01,direct debit,-186.13,75.43,car loan
2020-08-01,direct debit,-134,261.56,council tax
2020-08-01,digital banking payment,-400,395.56,savings
2020-08-01,digital banking payment,-600,795.56,savings
2020-08-01,bank automated clearing,800,1395.56,husband
2020-07-01,digital banking payment,-1.99,595.56,credit card
2020-07-01,digital banking payment,-475,597.55,rent
2020-07-01,point of sale,-18.54,1072.55,food
2020-07-01,point of sale,-59.49,1091.09,personal - small
2020-07-01,bank automated clearing,1541.38,1150.58,salary
2020-07-01,point of sale,-18,-390.8,personal - small
2020-07-01,direct debit,-3,-372.8,LISA
2020-07-01,digital banking payment,-192.6,-369.8,credit card
2020-07-01,direct debit,-2,-177.2,LISA
2020-07-01,bank automated clearing,25,-175.2,bonus
2020-07-01,direct debit,-20,-200.2,investment
2020-07-01,point of sale,-40.45,-180.2,petrol
2020-07-01,direct debit,-1,-139.75,LISA
2020-07-01,digital banking payment,-104.8,-138.75,credit card
2020-07-01,digital banking payment,-15.38,-33.95,credit card
2020-07-01,interest,-0.95,-18.57,credit card
2020-07-01,direct debit,-3,-17.62,LISA
2020-07-01,point of sale,-8,-14.62,utility bills
2020-07-01,point of sale,-506.94,-6.62,parents
2020-07-01,direct debit,-134,500.32,council tax
2020-07-01,digital banking payment,775,634.32,parents
2020-06-01,digital banking payment,150,-140.68,parents
2020-06-01,point of sale,-0.7,-290.68,personal - small
2020-06-01,digital banking payment,-475,-289.98,rent
2020-06-01,bank automated clearing,1203.16,185.02,salary
2020-06-01,bank automated clearing,700,-1018.14,husband
2020-06-01,point of sale,-299.99,-1718.14,personal - big
2020-06-01,point of sale,-478,-1418.15,personal - big
2020-06-01,digital banking payment,-145.24,-940.15,credit card
2020-06-01,digital banking payment,-40,-794.91,savings
2020-06-01,loan,32.95,-754.91,car loan
2020-06-01,direct debit,-20,-787.86,investment
2020-06-01,direct debit,-4,-767.86,LISA
2020-06-01,direct debit,-8.2,-763.86,utility bills
2020-06-01,direct debit,-4,-755.66,LISA
2020-06-01,digital banking payment,-151.67,-751.66,credit card
2020-06-01,interest,-4.03,-599.99,credit card
