date,type,categories,value,balance
2020-09-01,direct debit,car loan,-231.13,85.19
2020-09-01,direct debit,council tax,-165,295.32
2020-09-01,direct debit,LISA,14,422.32
2020-09-01,digital banking payment,credit card,-8.329999999999998,445.32
2020-09-01,digital banking payment,savings,-1214,485.65
2020-09-01,bank automated clearing,husband,517,1669.65
2020-08-01,digital banking payment,credit card,-37.33,1203.65
2020-08-01,digital banking payment,rent,-504,1169.98
2020-08-01,bank automated clearing,salary,1443.66,1610.98
2020-08-01,point of sale,car insurance,-69.2,210.32
2020-08-01,direct debit,LISA,-17,329.52
2020-08-01,point of sale,personal - big,-4744,346.52
2020-08-01,digital banking payment,credit card,-104,4959.52
2020-08-01,digital banking payment,parents,1985,5078.52
2020-08-01,digital banking payment,parents,3035,3112.52
2020-08-01,direct debit,investment,26,107.52
2020-08-01,direct debit,LISA,-15,60.519999999999996
2020-08-01,digital banking payment,credit card,-43.33,109.52
2020-08-01,point of sale,bonus,-6,68.85
2020-08-01,bank automated clearing,husband,68,121.85
2020-08-01,point of sale,investment,-81.58,26.85
2020-08-01,direct debit,LISA,5,68.43
2020-08-01,direct debit,utility bills,-51,15.43
2020-08-01,digital banking payment,husband,-46,34.43
2020-08-01,direct debit,LISA,-47,95.43
2020-08-01,digital banking payment,husband,-51,68.43
2020-08-01,digital banking payment,husband,39,51.43000000000001
2020-08-01,direct debit,car loan,-156.13,103.43
2020-08-01,direct debit,council tax,-102,303.56
2020-08-01,digital banking payment,savings,-417,367.56
2020-08-01,digital banking payment,savings,-617,835.56
2020-08-01,bank automated clearing,husband,788,1355.56
2020-07-01,digital banking payment,credit card,33.01,624.56
2020-07-01,digital banking payment,rent,-452,588.55
2020-07-01,point of sale,food,-38.54,1079.55
2020-07-01,point of sale,personal - small,-55.49,1133.09
2020-07-01,bank automated clearing,salary,1512.38,1135.58
2020-07-01,point of sale,personal - small,-62,-364.8
2020-07-01,direct debit,LISA,47,-410.8
2020-07-01,digital banking payment,credit card,-160.6,-388.8
2020-07-01,direct debit,LISA,41,-169.2
2020-07-01,bank automated clearing,bonus,42,-134.2
2020-07-01,direct debit,investment,-53,-197.2
2020-07-01,point of sale,petrol,-87.45,-201.2
2020-07-01,direct debit,LISA,-33,-164.75
2020-07-01,digital banking payment,credit card,-88.8,-133.75
2020-07-01,digital banking payment,credit card,2.619999999999999,-9.950000000000003
2020-07-01,interest,credit card,-43.95,-28.57
2020-07-01,direct debit,LISA,-30,-65.62
2020-07-01,point of sale,utility bills,-16,-7.619999999999999
2020-07-01,point of sale,parents,-483.94,-35.62
2020-07-01,direct debit,council tax,-146,539.3199999999999
2020-07-01,digital banking payment,parents,756,645.32
2020-06-01,digital banking payment,parents,170,-174.68
2020-06-01,point of sale,personal - small,1.3,-266.68
2020-06-01,digital banking payment,rent,-484,-245.98000000000002
2020-06-01,bank automated clearing,salary,1250.16,145.02
2020-06-01,bank automated clearing,husband,715,-1033.1399999999999
2020-06-01,point of sale,personal - big,-331.99,-1716.14
2020-06-01,point of sale,personal - big,-442,-1456.15
2020-06-01,digital banking payment,credit card,-191.24,-968.15
2020-06-01,digital banking payment,savings,-90,-801.91
2020-06-01,loan,car loan,78.95,-762.91
2020-06-01,direct debit,investment,-18,-786.86
2020-06-01,direct debit,LISA,-31,-749.86
2020-06-01,direct debit,utility bills,-14.2,-713.86
2020-06-01,direct debit,LISA,45,-750.66
2020-06-01,digital banking payment,credit card,-187.67,-757.66
2020-06-01,interest,credit card,-53.03,-573.99
2020-06-01,digital banking payment,savings,-81,-583.96
2020-06-01,direct debit,car loan,-169.78,-534.96
2020-06-01,point of sale,personal - small,-62.94,-407.18
2020-06-01,point of sale,bonus,46.71,-415.24
2020-06-01,direct debit,council tax,-178,-410.95
2020-06-01,direct debit,LISA,10,-300.95
2020-06-01,digital banking payment,husband,13,-311.95
2020-05-01,digital banking payment,rent,-494,-254.95
2020-05-01,bank automated clearing,husband,867,228.05
2020-05-01,bank automated clearing,salary,1230.72,-672.95
2020-05-01,direct debit,LISA,44,-1941.67
2020-05-01,point of sale,personal - small,-43.45,-1928.67
2020-05-01,digital banking payment,credit card,-227.08,-1916.22
2020-05-01,bank automated clearing,personal - small,75.42,-1629.14
2020-05-01,digital banking payment,savings,-39,-1708.56
2020-05-01,direct debit,investment,5,-1625.56
2020-05-01,direct debit,LISA,-13,-1653.56
2020-05-01,direct debit,LISA,-5,-1645.56
2020-05-01,direct debit,utility bills,-35,-1620.56
2020-05-01,digital banking payment,personal - big,-1973,-1600.56
2020-05-01,digital banking payment,savings,-6,400.44
2020-05-01,bank automated clearing,savings,1007.7,425.44
2020-05-01,bank automated clearing,husband,836,-614.26
2020-05-01,direct debit,car loan,-204.78,-1403.26
2020-05-01,direct debit,LISA,12,-1281.48
2020-05-01,direct debit,council tax,-116,-1321.48
2020-04-01,point of sale,personal - big,-2024.54,-1180.48
2020-04-01,bank automated clearing,savings,2027,822.06
2020-04-01,direct debit,LISA,-48,-1166.94
2020-04-01,digital banking payment,personal - small,-18,-1105.94
2020-04-01,point of sale,savings,-9,-1151.94
2020-04-01,digital banking payment,credit card,-85.63999999999999,-1116.94
2020-04-01,digital banking payment,savings,-1981,-1016.3
2020-04-01,digital banking payment,rent,-477,1018.7
2020-04-01,bank automated clearing,salary,1160.14,1495.7
2020-04-01,bank automated clearing,personal - small,-24.99,256.56
2020-04-01,direct debit,LISA,-20,335.55
